,Total_Sales,Total_sales_in 1000s,Sales per sqm,Sales_per_sqm_in_1000s,margin,no_of_owners,no_full_time_emp,no_of_parttime_emp,no_of_helpers,total_hours_wored,hours_per_emp,investment_in_stores,investment_in_automation,store_size,business_start_year
1,750000,750,4411.765,4.41,41,1,1,1,1.5357,76,16.75596,17166.67,27177.04,170,41
2,1926395,1926.4,4280.878,4.28,39,2,2,3,1.5357,192,22.49376,17166.67,27177.04,450,39
3,1250000,1250,4166.667,4.17,40,1,2,2.2222,1.4091,114,17.1912,292857.2,71570.55,300,40
4,694227,694.23,2670.104,2.67,40,1,1,1.2833,1.3673,100,21.5026,22207.04,15000,260,40
5,750000,750,15000,15,44,2,1.9556,1.2833,1.3673,104,15.74279,22207.04,10000,50,44
6,400000,400,4444.444,4.44,41,2,1.9556,1.2833,1.3673,72,10.89885,22207.04,22859.85,90,41
7,1300000,1300,3250,3.25,39,1.2228,1,3,4,161,17.45674,22207.04,22859.85,400,39
8,495340,495.34,4953.4,4.95,28,2,1.9556,1.2833,1.3673,80,12.10984,22207.04,22859.85,100,28
9,1200000,1200,2666.667,2.67,41,1,3,2.2222,1.4091,158,20.7042,292857.2,5000,450,41
10,495340,495.34,6604.533,6.6,37,1,1.9556,1.2833,1,87,16.60654,22207.04,22859.85,75,37
11,911315,911.32,7594.292,7.59,32,1,1,1,1.5357,156,34.39381,17166.67,27177.04,120,32
12,231000,231,5775,5.78,30,1,1.9556,1,1.3673,40,7.5147,22207.04,5000,40,30
13,492033,492.03,5467.033,5.47,39,1,2.2656,1,1.3333,96,17.14622,62269.23,16624.89,90,39
14,1500000,1500,13636.36,13.64,37,1,5,1,1,305,38.125,62269.23,10000,110,37
15,330000,330,8250,8.25,34,1,2.2656,2.0741,1.3333,92,13.7869,62269.23,16624.89,40,34
16,870000,870,4350,4.35,44,1,1,1.2833,1.3673,80,17.20208,22207.04,12700,200,44
17,694227,694.23,7713.633,7.71,33,1,1.9556,1,1.3673,124,23.29557,22207.04,22859.85,90,33
18,245228,245.23,3503.257,3.5,49,1,1.9556,1.2833,1.3673,69,12.3078,22207.04,3500,70,49
19,375000,375,3947.368,3.95,41,2,1.9556,1.2833,1.3673,60,9.082377,22207.04,50000,95,41
20,330000,330,4714.286,4.71,41,1,1.9556,1.2833,1.3673,65,11.59431,22207.04,22859.85,70,41
21,301133,301.13,2409.064,2.41,40,2,1.9556,1.2833,1.3673,86,13.01807,22207.04,2000,125,40
22,976817,976.82,5745.982,5.75,44,1,2,1.5946,1.5357,116,18.9224,5000,15000,170,44
23,1500000,1500,6000,6,45,1,5,3,1.4091,270,25.93884,292857.2,71570.55,250,45
24,77369,77.37,1289.483,1.29,21,1,1.9556,1.2833,1.3673,40,7.134958,22207.04,22859.85,60,21
25,471000,471,4957.895,4.96,39,1,1.9556,1.2833,2,99,15.86818,22207.04,22859.85,95,39
26,601000,601,3756.25,3.76,35,1,2,2.0741,1.3333,124,19.35262,62269.23,20000,160,35
27,976817,976.82,7235.682,7.24,37,1,1,1.2833,3,120,19.09824,5000,22859.85,135,37
28,850000,850,15454.55,15.45,46,2,1.9556,1.2833,1.3673,136,20.58672,22207.04,22859.85,55,46
29,495340,495.34,4503.091,4.5,39,1,2.2656,2.0741,1.3333,95,14.23647,5000,35000,110,39
30,694227,694.23,5785.225,5.79,44,1,4.359,2,1.4091,84,9.580183,292857.2,71570.55,120,44
31,156168,156.17,3470.4,3.47,30,1,1.9556,1.2833,1.3673,50,8.918697,22207.04,22859.85,45,30
32,495340,495.34,4953.4,4.95,41,2,1.9231,1.5946,1.5357,86,12.1927,17166.67,27177.04,100,41
33,1000000,1000,7142.857,7.14,42,4,3,1,1.3333,190,20.35722,180000,1.00E+05,140,42
34,694227,694.23,6311.155,6.31,38,1,1.9556,1.2833,1.3673,80,14.26992,5000,5000,110,38
35,976817,976.82,6302.045,6.3,41,1,1,2.0741,1,128,25.22615,62269.23,3000,155,41
36,156168,156.17,3123.36,3.12,35,1,1.9556,1,1.3673,48,9.017641,22207.04,5000,50,35
37,400000,400,1818.182,1.82,41,1,1,1,1.3673,98,22.43949,22207.04,22859.85,220,41
38,179655,179.66,2530.352,2.53,35,1,1.9556,1.2833,1.3673,43,7.67008,2850,3640,71,35
39,876000,876,6257.143,6.26,40,1,1,2.2222,1,96,18.38306,292857.2,71570.55,140,40
40,301133,301.13,2316.408,2.32,39,2,1.9556,1.2833,1.3673,95,14.38043,22207.04,30000,130,39
41,495340,495.34,11257.73,11.26,39,2,1.9556,1.2833,1.3673,55,8.325512,22207.04,2000,44,39
42,301133,301.13,3764.163,3.76,35,1,1.9231,1,1.5357,64,11.72419,17166.67,27177.04,80,35
43,853000,853,7049.587,7.05,46,1,1,1,1.3333,118,27.23098,62269.23,1200,121,46
44,976817,976.82,4884.085,4.88,49,2,1,1,1.3673,141,26.27019,5000,1000,200,49
45,1894931,1894.93,5573.327,5.57,39,1,3,2,2,204,25.5,2000,5000,340,39
46,976817,976.82,6105.106,6.11,31,2,1,1,1.3673,126,23.47549,22207.04,22859.85,160,31
47,694227,694.23,4958.764,4.96,31,2,2.2656,1,1,144,22.98264,20000,5000,140,31
48,495340,495.34,4307.304,4.31,31,1,1,1.2833,1.3673,110,23.65286,22207.04,5000,115,31
49,694227,694.23,1735.568,1.74,25,1,3,1,1.3673,192,30.15407,230000,15000,400,25
50,976817,976.82,10282.28,10.28,41,1,2.2656,1,1.3333,80,14.28852,8000,16624.89,95,41
51,976817,976.82,5141.142,5.14,39,2,3,1,1.5357,183,24.28441,17166.67,10000,190,39
52,815000,815,5821.429,5.82,30,1,1,2.0741,1.3333,100,18.49318,62269.23,16624.89,140,30
53,495340,495.34,6604.533,6.6,44,2,2.2656,2.0741,1,104,14.16952,62269.23,16624.89,75,44
54,1718000,1718,8590,8.59,47,1,4,1.2833,1.3673,282,36.85986,22207.04,10000,200,47
55,875000,875,14583.33,14.58,37,2,4.359,2.2222,1.4091,86,8.60835,292857.2,71570.55,60,37
56,790000,790,2633.333,2.63,40,1,2,2.0741,1.3333,114,17.79193,62269.23,16624.89,300,40
57,495340,495.34,3538.143,3.54,39,2,2.2656,2.0741,1.3333,80,10.42617,62269.23,16624.89,140,39
58,1850000,1850,12333.33,12.33,41,1,5,1.2833,1.3673,228,26.35655,22207.04,22859.85,150,41
59,549000,549,4575,4.58,41,2,1,2.0741,1.3333,88,13.73412,25000,16624.89,120,41
60,745000,745,2660.714,2.66,41,2,2,2.0741,1.3333,126,17.01002,62269.23,16624.89,280,41
61,694227,694.23,7713.633,7.71,41,1,1.9231,1,1,62,12.59369,2500,2500,90,41
62,156168,156.17,3904.2,3.9,37,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,40,37
63,976817,976.82,15027.95,15.03,43,1,1.9556,1,1,78,15.73977,22207.04,5000,65,43
64,450000,450,5000,5,39,1,2,1.5946,1.5357,117,19.08553,17166.67,27177.04,90,39
65,156168,156.17,3904.2,3.9,37.4615,1,1.9556,1.2833,1.3673,70,12.48618,1300,22859.85,40,41.6731
66,700000,700,5833.333,5.83,41,1,1,1.2833,1.3673,81,17.41711,22207.04,22859.85,120,41
67,498000,498,2490,2.49,40,1,2.2656,2.0741,2,80,10.89963,62269.23,3000,200,40
68,1421000,1421,4736.667,4.74,38,2,2,1.5946,1,166,25.17211,17166.67,27177.04,300,38
69,1600000,1600,3200,3.2,39,2,5,2.2222,1.4091,280,26.33732,4.00E+05,4.00E+05,500,39
70,510000,510,3923.077,3.92,41,2,1.9556,1.2833,1.3673,100,15.1373,22207.04,22859.85,130,41
71,694227,694.23,4628.18,4.63,33,1,1.9231,1,1,110,22.34365,17166.67,27177.04,150,33
72,700000,700,3111.111,3.11,41,1,1,1.2833,1.3673,81,17.41711,22207.04,22859.85,225,41
73,694227,694.23,3305.843,3.31,41,1,1.9231,1.5946,1.5357,82,13.54611,17166.67,27177.04,210,41
74,312107,312.11,2837.336,2.84,38,2,1.9231,1.5946,1.5357,104,14.74466,17166.67,2250,110,38
75,301133,301.13,8603.8,8.6,37,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,35,37
76,156168,156.17,1382.018,1.38,37,1,1.9556,1.2833,1.3673,104,18.55089,22207.04,22859.85,113,37
77,301133,301.13,3764.163,3.76,31,1,1.9556,1,1.3673,66,12.39926,22207.04,22859.85,80,31
78,301133,301.13,3011.33,3.01,35,1,1,1.2833,1,63,14.70829,22207.04,1000,100,35
79,301133,301.13,3345.922,3.35,39,1,1.9556,1.2833,1,63,12.02542,22207.04,1250,90,39
80,495340,495.34,3538.143,3.54,37,1,1.9231,1.5946,1,84,15.22373,17166.67,150000,140,37
81,1926395,1926.4,5206.473,5.21,47,1,5,3,1,296,29.6,292857.2,20000,370,47
82,1022300,1022.3,10223,10.22,42,1.2228,2,2,1,122,19.60532,22207.04,22859.85,100,42
83,1343500,1343.5,19192.86,19.19,42,1.2228,3,2,1.3673,154,20.28959,22207.04,22859.85,70,42
84,1290500,1290.5,18435.71,18.44,42,1.2228,3,2,1,148,20.49067,22207.04,15000,70,42
85,550000,550,4583.333,4.58,37,2,1.9231,1,1.5357,152,23.53378,17166.67,27177.04,120,37
86,2053200,2053.2,14665.71,14.67,45,1.2228,5,1,1.3673,210,24.44675,22207.04,11500,140,45
87,495340,495.34,12383.5,12.38,37.4615,1,1.9556,1.2833,1.3673,100,17.83739,22207.04,22859.85,40,41.6731
88,680000,680,7083.333,7.08,45,2,1.9556,1.2833,1.3673,104,15.74279,22207.04,1000,96,45
89,800000,800,9411.765,9.41,43,1,1,1.5946,1.5357,130,25.33965,1000,27177.04,85,43
90,235000,235,2350,2.35,37.4615,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,100,41.6731
91,976817,976.82,4884.085,4.88,41,1,1,1.2833,1.3673,90,19.35234,22207.04,22859.85,200,41
92,400000,400,8000,8,39,1,1.9231,1.5946,1.5357,132,21.80593,17166.67,27177.04,50,39
93,625000,625,6944.444,6.94,36,1,1.9556,1.2833,1,90,17.17918,190000,22859.85,90,36
94,777362,777.36,5182.414,5.18,32,1,1.9556,1.2833,2,92,14.74619,22207.04,22859.85,150,32
95,976817,976.82,4884.085,4.88,39,1,1.9556,2,1.3673,104,16.44815,22207.04,22859.85,200,39
96,301133,301.13,5018.883,5.02,49,1,1.9556,1.2833,1.3673,65,11.59431,22207.04,22859.85,60,49
97,800000,800,8000,8,39,1,1.9556,1.2833,1,88,16.79742,20000,20000,100,39
98,495340,495.34,4953.4,4.95,37,1,1.9556,1,1.3673,74,13.9022,22207.04,5000,100,37
99,553809,553.81,6153.433,6.15,42,1,2.2656,2.0741,1,61,9.621906,62269.23,16624.89,90,42
100,976817,976.82,6977.264,6.98,45,2,2,2,1.5357,162,21.49767,17000,2500,140,45
101,425000,425,2361.111,2.36,36,2,2.2656,2.0741,1.3333,80,10.42617,325000,16624.89,180,36
102,495340,495.34,1981.36,1.98,39,1,2.2656,2.0741,1.3333,120,17.98292,62269.23,16624.89,250,39
103,495340,495.34,4503.091,4.5,31,1,2.2656,2.0741,1.3333,72,10.78975,62269.23,16624.89,110,31
104,301133,301.13,3764.163,3.76,41,1,1.9556,1,1.3673,52,9.769111,22207.04,22859.85,80,41
105,876845,876.85,5480.281,5.48,42,1,1,1,1.3333,126,29.07715,350000,16624.89,160,42
106,420000,420,14000,14,38,1,1,2.0741,1.3333,80,14.79454,62269.23,16624.89,30,38
107,694227,694.23,5833.84,5.83,41,2,2.2656,1,1.3333,108,16.36636,62269.23,16624.89,119,41
108,156168,156.17,1952.1,1.95,41,1,1.9556,1,1.3673,71,13.33859,10000,5000,80,41
109,495340,495.34,8255.667,8.26,41,1,1.9556,1,1.3673,62,11.64779,22207.04,22859.85,60,41
110,694227,694.23,4338.919,4.34,39,2,1.9556,2,1.3673,125,17.06974,1.00E+05,10000,160,39
111,1033543,1033.54,4306.429,4.31,41,1,1,2,1.5357,188,33.96138,17166.67,27177.04,240,41
112,200005,200.01,2500.063,2.5,41,1,1.9556,1.2833,1.3673,52,9.275445,22207.04,22859.85,80,41
113,1158200,1158.2,8516.177,8.52,41,2,2,2.2222,1.4091,128,16.77303,292857.2,5800,136,41
114,393000,393,2079.365,2.08,40,1,2.2656,2.0741,1,63,9.937379,62269.23,16624.89,189,40
115,77369,77.37,4835.563,4.84,33,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,22859.85,16,33
116,156168,156.17,1952.1,1.95,25,1,1.9556,1.2833,1.3673,32,5.707966,2500,22859.85,80,25
117,1926395,1926.4,3210.658,3.21,41,2,5,2.0741,1.3333,271,26.03916,62000,14000,600,41
118,976817,976.82,9768.17,9.77,44,1,1,1.2833,1.3673,72,15.48187,22207.04,22859.85,100,44
119,694227,694.23,3305.843,3.31,41,1,1,1,1.3673,118,27.01898,22207.04,10000,210,41
120,301133,301.13,3345.922,3.35,33,1,1.9556,1.2833,1.3673,42,7.491705,6750,1500,90,33
121,687800,687.8,7642.222,7.64,37,1,1,2.0741,1.3333,87,16.08906,62269.23,1250,90,37
122,949840,949.84,2713.829,2.71,37,1,2,1.2833,1.3673,122,21.59063,22207.04,1200,350,37
123,694227,694.23,5553.816,5.55,40,1,1,3,1.3333,114,18.0001,62269.23,14500,125,40
124,976817,976.82,2790.906,2.79,28,1,1,2.2222,1.4091,117,20.77673,1500000,3.00E+05,350,28
125,400000,400,2857.143,2.86,43,1,1.9556,1.2833,1.3673,100,17.83739,10000,3000,140,43
126,495340,495.34,3002.061,3,31,1,1.9556,1.2833,1.3673,72,12.84292,2000,3000,165,31
127,301133,301.13,2007.553,2.01,28,2,1.9556,1.2833,1.3673,100,15.1373,22207.04,22859.85,150,28
128,3543400,3543.4,9842.777,9.84,38,1,5,1.2833,1,244,29.45686,22207.04,22859.85,360,38
129,495340,495.34,3538.143,3.54,38,1,1.9556,1.2833,1,51,9.734868,22207.04,2500,140,38
130,1283500,1283.5,8556.667,8.56,41,2,1,2,1.3673,142,22.30145,22207.04,22859.85,150,41
131,976817,976.82,5745.982,5.75,33,2,2.2656,2.0741,1,151,20.57305,62269.23,16624.89,170,33
132,767905,767.91,5485.036,5.49,39,1,2.2656,2.0741,1,102,16.08909,62269.23,15000,140,39
133,832000,832,4622.222,4.62,43,1,1.9231,1.5946,1.5357,75,12.38973,17166.67,600,180,43
134,495340,495.34,4953.4,4.95,39,2,2.2656,2.0741,1.3333,70,9.122898,230000,3500,100,39
135,1300000,1300,11304.35,11.3,39,1,2,1.2833,1.3673,160,28.31558,22207.04,22859.85,115,39
136,976817,976.82,13954.53,13.95,41,1,1,2.2222,1.4091,92,16.33726,292857.2,71570.55,70,41
137,976817,976.82,12210.21,12.21,42,2,1.9231,1,1.5357,120,18.5793,17166.67,5000,80,42
138,630000,630,4500,4.5,36,1,1,1.5946,1.5357,104,20.27172,17166.67,1800,140,36
139,694227,694.23,5340.208,5.34,39,2,2.2656,2.0741,1,124,16.89442,62269.23,5000,130,39
140,976817,976.82,5280.092,5.28,41,1,2.2656,2,1.3333,100,15.15404,2000,2000,185,41
141,1378586,1378.59,7877.634,7.88,44,1,2,2,2,175,25,292857.2,25000,175,44
142,145000,145,2900,2.9,37,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,22859.85,50,37
143,1943500,1943.5,24293.75,24.29,35,2,2.2656,2.0741,1,318,43.32602,150000,16624.89,80,35
144,301133,301.13,6022.66,6.02,31,1,1.9556,1.2833,1.3673,80,14.26992,22207.04,22859.85,50,31
145,1000000,1000,5000,5,40,2,2,2.2222,1,180,24.92315,5000,1000,200,40
146,775000,775,12916.67,12.92,39,2,1.9556,1.2833,1.3673,120,18.16475,22207.04,22859.85,60,39
147,1223975,1223.98,7649.844,7.65,41,1,1,1,1.3333,132,30.46177,62269.23,6000,160,41
148,694227,694.23,4083.688,4.08,42,1,1.9556,1,1.3673,72,13.52646,22207.04,22859.85,170,42
149,976817,976.82,9768.17,9.77,52,1,1.9556,1.2833,1.3673,120,21.40487,5000,2500,100,52
150,1350000,1350,6192.661,6.19,33,1,2,2.0741,1.3333,116,18.10407,62269.23,2000,218,33
151,390000,390,5571.429,5.57,42,1,1.9231,1.5946,1.5357,86,14.20689,17166.67,27177.04,70,42
152,535000,535,4458.333,4.46,34,1,1.9556,1.2833,1,80,15.27038,22207.04,6500,120,34
153,2500000,2500,10416.67,10.42,16,1.2228,4,1,4,199,19.46629,22207.04,22859.85,240,16
154,1926395,1926.4,17512.68,17.51,41,2,4,1.2833,1.3673,240,27.74374,22207.04,30000,110,41
155,524000,524,6550,6.55,38,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,80000,80,38
156,729353,729.35,9116.912,9.12,33,2,2.2656,1,1.3333,114,17.27561,62269.23,16624.89,80,33
157,620000,620,2254.545,2.25,42,2,1,1.5946,1,103,18.41061,17166.67,8500,275,42
158,1223000,1223,11759.62,11.76,35,1,1,1.2833,1,91,21.2453,22207.04,25000,104,35
159,625000,625,8333.333,8.33,41,1.2228,1,1,1.3673,65,14.16091,22207.04,5000,75,41
160,538055,538.06,4483.792,4.48,42,1.3238,1,2,1,96,18.03223,62269.23,16624.89,120,42
161,250000,250,4545.455,4.55,41,1,1.9556,1.2833,1,51,9.734868,22207.04,22859.85,55,41
162,301133,301.13,9410.406,9.41,41,1,1.9556,1.2833,1,51,9.734868,22207.04,22859.85,32,41
163,77369,77.37,1487.865,1.49,35,1,1.9556,1.2833,1.3673,40,7.134958,22207.04,22859.85,52,35
164,1378586,1378.59,13785.86,13.79,41,1,2,2,1.5357,147,22.49185,17166.67,27177.04,100,41
165,495340,495.34,6191.75,6.19,34,1,1.9556,1.2833,1,85,16.22478,9000,2000,80,34
166,333000,333,2081.25,2.08,49,1,1.9231,1.5946,1,75,13.59262,4500,27177.04,160,49
167,1378586,1378.59,6892.93,6.89,49,1,1,2.0741,2,111,18.27431,62269.23,16624.89,200,49
168,301133,301.13,2007.553,2.01,31,1,1.9556,1.2833,1.3673,82,14.62666,22207.04,22859.85,150,31
169,340000,340,4250,4.25,37,1,1.9556,1.2833,1,71,13.55246,22207.04,1200,80,37
170,976817,976.82,5426.761,5.43,44,1,2.2656,1,1,98,18.61136,62269.23,16624.89,180,44
171,1926395,1926.4,7269.415,7.27,41,1,2,2,1.3333,184,29.05278,20000,16624.89,265,41
172,1001500,1001.5,3576.786,3.58,35,1,2,1,2,174,29,22207.04,80000,280,35
173,301133,301.13,6022.66,6.02,37.4615,1,1.9556,1.2833,1.3673,71,12.66455,22207.04,22859.85,50,41.6731
174,750000,750,3750,3.75,38,1,1,2.0741,1.3333,131,24.22606,62269.23,16624.89,200,38
175,694227,694.23,3085.453,3.09,39,2,1,2.0741,1,128,21.07308,62269.23,16624.89,225,39
176,495340,495.34,4953.4,4.95,44,2,1,1.2833,1.3673,120,21.23668,2500,2500,100,44
177,750000,750,7500,7.5,41,1,1,1.2833,1.3673,98,21.07255,22207.04,22859.85,100,41
178,694227,694.23,5340.208,5.34,33,1,1.9556,1.2833,2,78,12.5022,22207.04,10000,130,33
179,750000,750,7653.061,7.65,39,1,1.9556,1.2833,1.3673,104,18.55089,22207.04,22859.85,98,39
180,400000,400,3333.333,3.33,30,1,2.2656,2.0741,1,59,9.306434,62269.23,16624.89,120,30
181,1200000,1200,6000,6,36,2,3,1.5946,4,192,18.12244,20000,45000,200,36
182,694227,694.23,2169.459,2.17,39,1,1,1,1.3333,94,21.69247,2000,16624.89,320,39
183,250000,250,2272.727,2.27,41,1,1.9556,1.2833,1,63,12.02542,22207.04,22859.85,110,41
184,976817,976.82,4884.085,4.88,44,1,3,1,1.4091,196,30.58152,292857.2,71570.55,200,44
185,845000,845,4225,4.23,40,1,1,2,1,144,28.8,17166.67,27177.04,200,40
186,1926395,1926.4,12842.63,12.84,44,1,5,4,1.4091,297,26.03185,292857.2,71570.55,150,44
187,976817,976.82,2382.48,2.38,66,1,4,3,1,313,34.77778,17166.67,72000,410,66
188,600000,600,5454.545,5.45,32,2,1,1.2833,1.3673,90,15.92751,22207.04,22859.85,110,32
189,694227,694.23,9917.528,9.92,39,1,4.359,2.2222,1.4091,150,16.68465,292857.2,71570.55,70,39
190,760000,760,5066.667,5.07,34,2,1.9231,1.5946,2,86,11.43967,17166.67,27177.04,150,34
191,976817,976.82,9768.17,9.77,41,1,4,1.2833,1.3673,191,24.96536,25000,25000,100,41
192,156168,156.17,6246.72,6.25,37.4615,1,1.9556,1.2833,1.3673,104,18.55089,80000,22859.85,25,41.6731
193,495340,495.34,6191.75,6.19,38,1,1,1.2833,1.3673,120,25.80312,22207.04,22859.85,80,38
194,1378586,1378.59,5143.978,5.14,28,2,3,1,1.3673,212,28.77581,22207.04,5000,268,28
195,1164149,1164.15,12934.99,12.93,37,1,1,1,1.3333,128,29.53869,62269.23,16624.89,90,37
196,1200000,1200,8000,8,40,1,1.9556,1.2833,2,97,15.54761,50000,275000,150,40
197,976817,976.82,12210.21,12.21,38,1,1.9556,2,1.3673,93,14.70844,22207.04,22859.85,80,38
