,Total_Sales,Total_sales_in 1000s,Sales per sqm,Sales_per_sqm_in_1000s,margin,no_of_owners,no_full_time_emp,no_of_parttime_emp,no_of_helpers,total_hours_wored,hours_per_emp,investment_in_stores,investment_in_automation,store_size,business_start_year
198,694227,694.23,9256.36,9.26,41,1.2228,2,1.2833,1.3673,80,13.62073,22207.04,22859.85,75,41
199,694227,694.23,3305.843,3.31,42,1,1,3,1.3333,102,16.10535,62269.23,16624.89,210,42
200,694227,694.23,4958.764,4.96,44,1,1,3,1.3333,102,16.10535,62269.23,16624.89,140,44
201,694227,694.23,4958.764,4.96,44,1,1,2,1,92,18.4,62269.23,5000,140,44
202,1926395,1926.4,4815.987,4.82,42,3,2,1,1,297,42.42857,22207.04,4.00E+05,400,42
203,301133,301.13,3764.163,3.76,41,1,1.9556,1.2833,1.3673,90,16.05366,22207.04,22859.85,80,41
204,1340000,1340,8375,8.38,43,2,1,2,1.3333,179,28.26331,62269.23,13000,160,43
205,785000,785,4361.111,4.36,39,1.3238,1,2,1.3333,74,13.08091,30000,10000,180,39
206,1400000,1400,4117.647,4.12,40,1.3238,3,2,1.3333,142,18.54488,62269.23,20000,340,40
207,2700000,2700,27000,27,40,1,3,1.2833,1.3673,160,24.05798,22207.04,9000,100,40
208,1926395,1926.4,8756.341,8.76,43,1,4,1,1,236,33.71429,292857.2,60000,220,43
209,694227,694.23,6428.028,6.43,44,1,1.9556,1.2833,1.3673,80,14.26992,22207.04,22859.85,108,44
210,600000,600,6000,6,39,1,1,1.5946,1.5357,81,15.78855,17166.67,27177.04,100,39
211,976817,976.82,8880.154,8.88,39,1,3,1.2833,1.3673,170,25.5616,1.00E+05,150000,110,39
212,694227,694.23,5785.225,5.79,37,1,1,2,1.3333,120,22.50014,62269.23,75000,120,37
213,694227,694.23,4338.919,4.34,31,2,1,1,1.3673,116,21.61236,22207.04,22859.85,160,31
214,495340,495.34,4127.833,4.13,40,1,1.9231,1,1.5357,114,20.88371,11000,27177.04,120,40
215,495340,495.34,3669.185,3.67,39,1,1.9231,1.5946,1.5357,70,11.56375,17166.67,27177.04,135,39
216,350000,350,2916.667,2.92,38,1,1,1.2833,1.3673,90,19.35234,15000,15000,120,38
217,77369,77.37,910.2235,0.91,21,1,1.9556,1.2833,1.3673,45,8.026828,22207.04,22859.85,85,21
218,976817,976.82,5141.142,5.14,41,1,2,1,1.4091,190,35.12599,1000,71570.55,190,41
219,1475000,1475,4402.985,4.4,41,1,2,2,1.3333,170,26.84225,62269.23,16624.89,335,41
220,795655,795.66,1768.122,1.77,41,2,2,1.5946,1.5357,160,22.43945,17166.67,27177.04,450,41
221,570000,570,5700,5.7,40,1,1.9556,1,1.3673,63,11.83565,22207.04,22859.85,100,40
222,976817,976.82,6977.264,6.98,40,2,1,1,1.5357,135,24.38716,15000,27177.04,140,40
223,711661,711.66,6469.646,6.47,41,1,1,1.2833,1.3673,139,29.88862,22207.04,10000,110,41
224,156168,156.17,6246.72,6.25,36,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,22859.85,25,36
225,960000,960,7680,7.68,35,2,2.2656,2.0741,1.3333,100,13.03271,62269.23,16624.89,125,35
226,860000,860,3822.222,3.82,36,1,1,2,1,145,29,62269.23,8000,225,36
227,694227,694.23,8677.838,8.68,28,1,1.9556,1,1,68,13.72185,22207.04,22859.85,80,28
228,777102,777.1,5180.68,5.18,44,1,2,1.5946,1,146,26.09659,17166.67,27177.04,150,44
229,976817,976.82,3256.057,3.26,35,2,1,1,1.5357,142,25.65168,17166.67,27177.04,300,35
230,770200,770.2,2026.842,2.03,41,2,2.2656,2,1.3333,126,16.58135,62269.23,16624.89,380,41
231,560000,560,7000,7,37,2,1.9556,1.2833,1.3673,86,13.01807,2000,4000,80,37
232,495340,495.34,3810.308,3.81,37,1,1.9231,1,1,88,17.87492,17166.67,10000,130,37
233,1182183,1182.18,1688.833,1.69,40,1,5,1.2833,1.3673,240,27.74374,22207.04,101552,700,40
234,694227,694.23,12622.31,12.62,45,2,1.9556,1,1,116,19.47747,10000,22859.85,55,45
235,716000,716,7955.556,7.96,38,1,2,2.0741,2,108,15.26696,62269.23,1750,90,38
236,976817,976.82,4341.409,4.34,39,1.4091,3,2.2222,1,122,15.98679,292857.2,71570.55,225,39
237,495340,495.34,2896.725,2.9,40,1,1.9556,1.2833,1.3673,87,15.51853,22207.04,22859.85,171,40
238,820000,820,6833.333,6.83,38,1,1,1.2833,1.3673,80,17.20208,22207.04,16000,120,38
239,1040000,1040,11555.56,11.56,38,1,2,1.2833,1.3673,101,17.87421,22207.04,9000,90,38
240,3545901,3545.9,23639.34,23.64,45,1,4,1,1.3673,228,30.94757,22207.04,12000,150,45
241,900000,900,3600,3.6,60,3,2,1,1.3333,244,33.27288,62269.23,15720,250,60
242,436000,436,7266.667,7.27,37,1,1.9556,1,2,79,13.26483,22207.04,22859.85,60,37
243,800000,800,8000,8,33,1,2,1.2833,1.3673,87,15.3966,22207.04,22859.85,100,33
244,301133,301.13,7528.325,7.53,28,1,1.9556,1,1.3673,56,10.52058,22207.04,22859.85,40,28
245,495340,495.34,7620.615,7.62,41,1,1.9556,1.2833,1,82,15.65214,6000,5000,65,41
246,1400000,1400,7777.778,7.78,41,2,1.9556,3,1.3673,160,19.22407,22207.04,5000,180,41
247,640000,640,3878.788,3.88,34,2,1,1.2833,1.3673,158,27.96163,22207.04,2000,165,34
248,301133,301.13,6022.66,6.02,41,1,1.9556,1.2833,1.3673,40,7.134958,22207.04,22859.85,50,41
249,495340,495.34,1905.154,1.91,41,1,1,2.0741,1.3333,90,16.64386,62269.23,16624.89,260,41
250,156168,156.17,3904.2,3.9,36,1,1.9556,1,1.3673,55,10.33271,22207.04,22859.85,40,36
251,971500,971.5,3736.539,3.74,41,2,1,2,1,171,28.5,292857.2,1483,260,41
252,812397,812.4,9026.634,9.03,38,1,1.9231,1,1.5357,67,12.27376,17166.67,6884,90,38
253,1054268,1054.27,10542.68,10.54,38,1,1,1.2833,1,132,30.81736,22207.04,15000,100,38
254,750000,750,8823.529,8.82,42,1,1,1.2833,1.3673,84,18.06219,22207.04,22859.85,85,42
255,77369,77.37,1547.38,1.55,23,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,50,23
256,126179,126.18,3154.475,3.15,33,1,1.9556,1.2833,1.3673,52,9.275445,22207.04,600,40,33
257,1378586,1378.59,12883.98,12.88,37,1,2,1.2833,1,88,16.65626,22207.04,10000,107,37
258,694227,694.23,10680.42,10.68,41,1,4.359,1,1.4091,86,11.07092,292857.2,2000,65,41
259,1378586,1378.59,14360.27,14.36,37.4615,1.2228,2,4,1.3673,154,17.92761,22207.04,22859.85,96,41.6731
260,976817,976.82,2790.906,2.79,44,2,2,1,1,165,27.5,292857.2,71570.55,350,44
261,490000,490,8166.667,8.17,25,1.2228,2,1,1.3673,102,18.24654,22207.04,22859.85,60,25
262,301133,301.13,4182.403,4.18,31,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,1500,72,31
263,694227,694.23,4958.764,4.96,37.4615,2,2,1.2833,1.3673,126,18.94566,22207.04,22859.85,140,41.6731
264,1130000,1130,13294.12,13.29,31,1,2,1.2833,1.3673,132,23.36035,8800,2000,85,31
265,156168,156.17,4338,4.34,37.4615,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,22859.85,36,41.6731
266,976817,976.82,13954.53,13.95,37,2,2.2656,2.0741,1.3333,116,15.11795,62269.23,16624.89,70,37
267,1000000,1000,8333.333,8.33,39,1,2,1.2833,1.3673,100,17.69724,22207.04,1.00E+05,120,39
268,1926395,1926.4,19263.95,19.26,40,10,4,2.2222,1.4091,582,33.00948,292857.2,71570.55,100,40
269,243517,243.52,4427.582,4.43,28,1,1.9556,1.2833,1.3673,72,12.84292,22207.04,2476,55,28
270,301133,301.13,3764.163,3.76,39,1,1.9556,1.2833,1,55,10.49839,40000,48450,80,39
271,4000000,4000,9302.325,9.3,41,1,7,1,1.3673,359,34.62811,22207.04,22859.85,430,41
272,750000,750,3750,3.75,36,2,1,1,2,173,28.83333,62269.23,16624.89,200,36
273,301133,301.13,3011.33,3.01,39,1,1.9556,1.2833,1.3673,87,15.51853,22207.04,22859.85,100,39
274,850000,850,7727.273,7.73,43,1,1,2,1.5357,143,25.83232,17166.67,5000,110,43
275,301133,301.13,2737.573,2.74,35,1,1.9556,1,1.3673,90,16.90808,22207.04,22859.85,110,35
276,229000,229,2726.19,2.73,41,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,22859.85,84,41
277,400000,400,5000,5,39,2,2.2656,2.0741,1.3333,80,10.42617,62269.23,16624.89,80,39
278,976817,976.82,15027.95,15.03,38,1,1.9556,1,1.3673,110,20.66543,2500,13500,65,38
279,976817,976.82,12210.21,12.21,39,2,1.9556,1.2833,1.3673,100,15.1373,22207.04,5000,80,39
280,1926395,1926.4,7705.58,7.71,48,1,3,2,1,213,30.42857,292857.2,71570.55,250,48
281,1378586,1378.59,5105.874,5.11,45,1,1,4,1.3333,178,24.27284,62269.23,16624.89,270,45
282,2737701,2737.7,7822.003,7.82,39,1,6,2,1.3333,294,28.4517,62269.23,16624.89,350,39
283,694227,694.23,4958.764,4.96,44,1.4091,2,2.2222,1,84,12.6672,292857.2,71570.55,140,44
284,800000,800,5333.333,5.33,37,2,1,1,1.5357,192,34.68396,17166.67,2000,150,37
285,890700,890.7,7125.6,7.13,44,1.3238,2,2,1,134,21.18979,62269.23,8000,125,44
286,1891500,1891.5,5404.286,5.4,36,1,4,1,3,250,27.77778,292857.2,9500,350,36
287,60000,60,300,0.3,25,1,1.9556,1.2833,1.3673,50,8.918697,22207.04,22859.85,200,25
288,976817,976.82,6105.106,6.11,31,1,1,2,1,107,21.4,22207.04,22859.85,160,31
289,976817,976.82,3907.268,3.91,41,1,1,2.2222,1,86,16.46815,292857.2,71570.55,250,41
290,976817,976.82,3907.268,3.91,41,1,1,2.2222,1,86,16.46815,292857.2,71570.55,250,41
291,1076500,1076.5,5053.991,5.05,39,1,2,3,1.3333,186,25.36375,62269.23,16624.89,213,39
292,1378586,1378.59,6352.931,6.35,38,1,4,1.5946,1.5357,191,23.49237,17166.67,27177.04,217,38
293,409167,409.17,5114.587,5.11,37,1,1.9556,1.2833,1,67,12.78894,22207.04,5900,80,37
294,694227,694.23,15427.27,15.43,35,1.2228,2,1.2833,1.3673,80,13.62073,22207.04,6000,45,35
295,900000,900,5000,5,39,1,1,2,1,137,27.4,1.00E+05,40000,180,39
296,1926395,1926.4,5503.986,5.5,41,1,5,3,1.3333,284,27.48396,62269.23,16700,350,41
297,976817,976.82,4884.085,4.88,36,1.2228,1,1,1,58,13.73496,22207.04,350,200,36
298,887000,887,10313.95,10.31,39,1,4.359,1,1.4091,110,14.16048,292857.2,15000,86,39
299,2737701,2737.7,10950.8,10.95,42,1,4,1,3,274,30.44444,22207.04,22859.85,250,42
300,1300000,1300,8666.667,8.67,39,2,1,1.2833,1,177,33.50179,22207.04,22859.85,150,39
301,156168,156.17,3549.273,3.55,40,1,1.9556,1.2833,1.3673,63,11.23756,22207.04,22859.85,44,40
302,1000000,1000,10638.3,10.64,41,2,2,1,1.3673,184,28.89765,30000,22859.85,94,41
303,528000,528,6600,6.6,41,1,2.2656,2.0741,1.3333,120,17.98292,62269.23,16624.89,80,41
304,77369,77.37,1934.225,1.93,33,1,1.9556,1.2833,1.3673,80,14.26992,22207.04,22859.85,40,33
305,1926395,1926.4,13759.96,13.76,49,1.2857,2,2,2,136,18.6667,17166.67,27177.04,140,49
306,694227,694.23,6942.27,6.94,35,2,1.9231,1.5946,1,65,9.972843,17166.67,10000,100,35
307,475000,475,11309.52,11.31,28,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,2000,42,28
308,800000,800,5555.556,5.56,41,2,3,2.0741,2,240,26.4489,62269.23,5000,144,41
309,984717,984.72,5182.721,5.18,37,1,3,1.2833,1.3673,162,24.3587,22207.04,22859.85,190,37
310,77369,77.37,859.6556,0.86,25,1,2.2656,2.0741,1.3333,90,13.48719,62269.23,16624.89,90,25
311,976817,976.82,4884.085,4.88,40,1,1,3,1.3333,133,21.00011,62269.23,16624.89,200,40
312,495340,495.34,6191.75,6.19,39,1,1,1,1.3333,131,30.231,15000,16624.89,80,39
313,1926395,1926.4,5665.868,5.67,21,3,1.9556,1.2833,1.3673,120,15.7766,65000,80000,340,21
314,301133,301.13,5018.883,5.02,35,1.2228,1,1.2833,1.3673,40,8.207822,22207.04,22859.85,60,35
315,196065,196.07,3267.75,3.27,31,1,1.9556,1,1.3673,80,15.0294,22207.04,22859.85,60,31
316,1100000,1100,5238.095,5.24,42,1,3,2.0741,1,137,19.36642,62269.23,16000,210,42
317,50000,50,3125,3.13,30,1,1.9556,1.2833,1.3673,40,7.134958,22207.04,22859.85,16,30
318,495340,495.34,8255.667,8.26,38,1,1.9556,1.2833,1.3673,52,9.275445,22207.04,22859.85,60,38
319,694227,694.23,6942.27,6.94,42,2,1,1.5946,1.5357,137,22.34801,17166.67,27177.04,100,42
320,1000000,1000,7692.308,7.69,44,1,2,2.2222,2,138,19.10775,292857.2,71570.55,130,44
321,797825,797.83,3989.125,3.99,42,1,2.2656,1,2,94,15.00255,62269.23,1900,200,42
322,1413502,1413.5,11129.94,11.13,41,1,4,2.0741,2,204,22.48157,12000,3400,127,41
323,355724,355.72,5081.771,5.08,39,1,1.9556,1.2833,1,57,10.88015,22207.04,22859.85,70,39
324,777042,777.04,3885.21,3.89,40,1,1,1,1.3333,115,26.53867,62269.23,16624.89,200,40
325,495340,495.34,5503.778,5.5,42,1,2.2656,2.0741,1.3333,104,15.58519,62269.23,16624.89,90,42
326,775000,775,4078.947,4.08,40,1,1,1,2,125,25,150000,50000,190,40
327,1000000,1000,10000,10,41,1,2,1.2833,1,149,28.20207,22207.04,22859.85,100,41
328,694227,694.23,6311.155,6.31,39,1,2,1.2833,1.3673,136,24.06824,22207.04,30000,110,39
329,480000,480,10666.67,10.67,38,1,1.9556,1.2833,1.3673,104,18.55089,22207.04,22859.85,45,38
330,188790,188.79,3933.125,3.93,39,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,22859.85,48,39
331,575000,575,4107.143,4.11,35,1,1,2.0741,1.3333,70,12.94522,62269.23,16624.89,140,35
332,976817,976.82,3907.268,3.91,33,1,1,1.5946,3,122,18.49998,17166.67,27177.04,250,33
333,725000,725,3625,3.63,36,1,1.9231,1.5946,2,112,17.18398,17166.67,27177.04,200,36
334,650000,650,6500,6.5,38,1,2.2656,1,1.3333,70,12.50246,62269.23,5000,100,38
335,976817,976.82,4440.077,4.44,37,1,1.9231,1.5946,2,113,17.3374,17166.67,5000,220,37
336,1100000,1100,6111.111,6.11,39,1,2,1.2833,1.3673,125,22.12154,22207.04,22859.85,180,39
337,495340,495.34,7393.134,7.39,44,2,1.9556,1.2833,1.3673,80,12.10984,5000,22859.85,67,44
338,375000,375,11718.75,11.72,44,2,1.9556,1.2833,1,104,16.66961,22207.04,22859.85,32,44
339,400000,400,3333.333,3.33,40,1,1.9231,1,1.5357,75,13.73928,20000,27177.04,120,40
340,495340,495.34,4503.091,4.5,39,1,2.2656,2.0741,1.3333,65,9.740746,62269.23,15000,110,39
341,1400000,1400,5384.615,5.38,42,1,4,2,3,279,27.9,10000,5000,260,42
342,495340,495.34,6191.75,6.19,33,1.2228,1,1,1.3673,55,11.98231,22207.04,5000,80,33
343,694227,694.23,6942.27,6.94,33,2,2.2656,2.0741,1.3333,104,13.55402,62269.23,16624.89,100,33
344,694227,694.23,4958.764,4.96,44,1,1.9231,1.5946,1.5357,72,11.89414,17166.67,27177.04,140,44
345,525000,525,10937.5,10.94,40,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,22859.85,48,40
346,425000,425,2500,2.5,39,2,1.9556,1,1.3673,82,12.96873,22207.04,22859.85,170,39
347,1450000,1450,3222.222,3.22,47,1,3,1,1.4091,224,34.95031,292857.2,2.00E+05,450,47
348,655965,655.97,5963.318,5.96,42,1,2.2656,1,1,84,15.9526,62269.23,6000,110,42
349,600000,600,10000,10,34,2,1.9556,1.2833,1.3673,120,18.16475,22207.04,150000,60,34
350,300000,300,5000,5,34,1,1.9556,1.2833,1.3673,69,12.3078,22207.04,1000,60,34
351,301133,301.13,5018.883,5.02,33,1,1.9556,1.2833,1.3673,45,8.026828,22207.04,22859.85,60,33
352,694227,694.23,7713.633,7.71,38,2,1.9556,1.2833,1.3673,50,7.568648,47880,78868,90,38
353,1286703,1286.7,3216.758,3.22,39,1,4,1,1,228,32.57143,17166.67,27177.04,400,66
354,500000,500,8333.333,8.33,28,2,1.9556,1.2833,1.3673,144,21.7977,1500,22859.85,60,28
355,650000,650,7647.059,7.65,39,1,1.9556,1.2833,2,100,16.02847,5000,10000,85,88
356,950000,950,5277.778,5.28,42,2,1.9231,2,1,198,28.59991,17166.67,27177.04,180,82
357,930000,930,8086.957,8.09,43,2,1,1.2833,1.3673,150,26.54585,10000,22859.85,115,32
358,565400,565.4,14135,14.14,44,1,3,2.0741,1.3333,167,22.54502,62269.23,5000,40,59
359,634245,634.25,7047.167,7.05,36,1,1,1,1,127,31.75,22207.04,15000,90,58
360,946412,946.41,5061.027,5.06,38,1,1,1.2833,1.3673,160,34.40416,22207.04,7500,187,63
361,1700000,1700,4473.684,4.47,40,1,5,5,1,118,9.833333,17166.67,10000,380,70
362,605000,605,4033.333,4.03,37,1,1,2,1.3673,152,28.31964,22207.04,22859.85,150,73
363,395000,395,4157.895,4.16,37,1,1.9556,1.2833,1.3673,78,13.91317,22207.04,22859.85,95,84
364,1800000,1800,5000,5,46,1,3,1,1.4091,192,29.95741,292857.2,71570.55,360,83
365,2000000,2000,8510.639,8.51,38,2,3,3,3,294,26.72727,17166.67,1.00E+05,235,61
366,1086835,1086.84,9880.318,9.88,38,1,2,1,2,168,28,20000,22859.85,110,83
367,1200000,1200,8000,8,45,1,1,1,1.3673,124,28.39283,22207.04,22859.85,150,88
368,1518000,1518,7590,7.59,39,1,3,1,1,234,39,114000,1.00E+05,200,67
369,732981,732.98,5235.579,5.24,40,1,2,1.2833,1.3673,163,28.84649,22207.04,22859.85,140,56
370,1400000,1400,9333.333,9.33,43,1,2,1,1.5357,160,28.9033,17166.67,175000,150,77
371,544015,544.02,6800.188,6.8,38,1,1.9556,1.2833,1.3673,85,15.16179,22207.04,22859.85,80,82
372,199286,199.29,3321.433,3.32,31,1,1.9231,1.5946,1.5357,65,10.73777,17166.67,27177.04,60,88
373,2000000,2000,5128.205,5.13,38,1,2,3,2,210,26.25,17166.67,9000,390,90
374,480000,480,6857.143,6.86,45,1,1,2.0741,1.3333,103,19.04797,62269.23,16624.89,70,72
375,842389,842.39,3829.041,3.83,45,1,2,2.0741,1,161,26.50599,62269.23,120000,220,65
376,502000,502,5020,5.02,44,2,2.2656,2.0741,1,110,14.98699,5000,1.00E+05,100,90
377,1950000,1950,7222.222,7.22,46,1,4,1.5946,1.5357,264,32.47113,17166.67,27177.04,270,75
378,580000,580,1933.333,1.93,39,1,3,2,1.3333,176,24.00011,60000,30000,300,65
379,1000000,1000,4545.455,4.55,41,1,4.359,1,1,120,16.30656,292857.2,71570.55,220,69
380,671755,671.76,6106.864,6.11,44,1,2.2656,1,1.3333,140,25.00491,62269.23,5000,110,82
381,536459,536.46,4291.672,4.29,37,1,1,1,1.5357,156,34.39381,2500,2500,125,64
382,955867,955.87,6827.622,6.83,43,1,2,3,1.5357,122,16.1896,9000,7600,140,75
383,1472900,1472.9,12274.17,12.27,45,1,1,1.2833,1.3673,108,23.22281,22207.04,22859.85,120,79
384,445000,445,11125,11.13,35,1,1.9556,1.2833,1.3673,70,12.48618,22207.04,22859.85,40,87
385,772665,772.67,5519.036,5.52,39,1,1,1.2833,1.3673,105,22.57773,20000,22859.85,140,61
386,1200000,1200,9230.77,9.23,42,2,3,1,1.3673,250,33.93373,22207.04,22500,130,64
387,420000,420,5600,5.6,40,1,1.9556,1.2833,1.3673,82,14.62666,22207.04,22859.85,75,81
388,1067500,1067.5,10675,10.68,40,1,1,1.2833,1,109,25.44767,8600,22859.85,100,82
389,846000,846,6042.857,6.04,40,2,1,2.2222,1.4091,150,22.62,30000,15000,140,80
390,500000,500,8333.333,8.33,44,2,1.9556,1.2833,1.3673,110,16.65102,25000,22859.85,60,88
391,1993529,1993.53,1642.116,1.64,48,2,5,5,3,385,25.66667,62269.23,16624.89,1214,86
392,695000,695,3861.111,3.86,42,1,1,1,1,151,37.75,292857.2,1687,180,75
393,407400,407.4,2314.773,2.31,43,1,1.9231,1.5946,1,106,19.2109,17166.67,27177.04,176,69
394,1800000,1800,3964.758,3.96,48,3,2.2656,3,1.3333,221,23.02347,62269.23,2450,454,48
395,1164688,1164.69,5823.44,5.82,46,1,1,1,1.3673,117,26.79001,22207.04,22859.85,200,80
396,500000,500,5000,5,37,1,1.9231,1,1.5357,104,19.05181,17166.67,80000,100,90
397,5000000,5000,16666.67,16.67,40,1,8,9,1,120,6.31579,292857.2,126800,300,76
398,517381,517.38,5173.81,5.17,40,1,1,1.5946,1.5357,92,17.93267,17166.67,27177.04,100,89
399,1252320,1252.32,3339.52,3.34,36,1,2,1.5946,2,170,25.77867,17166.67,27177.04,375,72
400,600000,600,8571.429,8.57,39,1,1.9556,1.2833,1,74,14.1251,22207.04,22859.85,70,85
